hip,ra_degrees,dec_degrees,k,vmag,angular_diameter_mas
91532,280.00166783,-7.79070788,4400.0,5.82,9.6935
91726,280.56842553,-9.05255357,7200.0,4.7,5.9948
91755,280.65815094,55.53940044,12000.0,5.03,1.8699
91792,280.75889095,-71.42772867,4700.0,4.01,19.3678
91845,280.88016751,-8.27524299,5200.0,4.88,10.6993
91854,280.90549491,-64.55131121,5000.0,5.76,7.7032
91875,280.94558795,-38.32331062,10000.0,5.11,2.5764
91883,280.9650595,31.92691949,7350.0,5.68,3.6564
91918,281.08066463,-35.64192109,26000.0,4.86,0.4315
91919,281.08473883,39.66997686,7350.0,4.67,5.8169
91926,281.09489936,39.61259557,8000.0,4.59,5.093
91971,281.19306613,37.60505025,8750.0,4.34,4.7725
91973,281.20079095,37.59456466,7500.0,5.73,3.4231
91974,281.20667981,-25.01086335,14000.0,5.82,0.9595
91975,281.20805403,2.06007487,12000.0,5.02,1.8824
91989,281.23812444,-39.68617292,4850.0,5.4,9.7168
92024,281.36190079,-64.87089771,8250.0,4.78,4.3257
92027,281.36814952,5.50012301,9750.0,5.82,1.9773
92041,281.41397083,-26.9907794,14000.0,3.17,3.2184
92043,281.4155466,20.54712356,6600.0,4.19,8.7023
92056,281.44481933,74.08535352,5000.0,5.25,9.725
92088,281.51861708,26.66207055,4550.0,4.83,14.2034
92111,281.58578518,-22.39218449,4250.0,5.37,12.8291
92112,281.59276611,75.43379735,9750.0,5.37,2.4176
92117,281.61909463,-0.96163956,9500.0,5.89,2.0004
92133,281.67949234,52.98797002,26000.0,5.91,0.2676
92161,281.75509317,18.18122968,8750.0,4.34,4.7045
92175,281.79365558,-4.74782871,5500.0,4.22,12.9807
92202,281.87073367,-5.70507074,5000.0,5.38,9.2285
92226,281.93583145,-40.40612167,5500.0,5.2,8.2364
92294,282.15815797,-65.07748945,7750.0,5.71,3.2595
92308,282.21029394,-43.67999681,9500.0,5.46,2.4464
92312,282.22240149,19.32877145,9750.0,5.89,1.901
92367,282.36367328,-45.81023948,5400.0,5.8,6.4861
92382,282.39582542,-43.4340401,12000.0,5.6,1.4434
92390,282.41711408,-20.32474038,4700.0,5.22,11.22
92391,282.42064627,-5.91283415,4700.0,5.99,7.8874
92398,282.44130295,32.81283298,24000.0,5.93,0.3106
92405,282.47052043,32.55108873,9250.0,5.22,2.8695
92420,282.51997462,33.36267788,8000.0,3.52,8.478
92488,282.74377104,-9.77410171,7200.0,5.82,3.6348
92512,282.80002755,59.38828895,5000.0,4.63,12.9337
92549,282.89583932,52.97452091,5100.0,5.51,8.0533
92609,283.05431892,-62.18756062,26000.0,4.22,0.5826
92614,283.06846943,21.42516648,12000.0,5.43,1.5582
92630,283.11335813,-46.59511945,3500.0,5.51,17.7199
92646,283.16502568,-52.10713766,5200.0,5.18,9.2729
92689,283.30642219,50.70828894,5200.0,4.92,10.4678
92728,283.43149392,36.97172755,26000.0,5.58,0.311
92747,283.50037663,-21.35979587,5200.0,5.68,7.4346
92761,283.54239695,-22.7448202,4850.0,4.86,12.469
92768,283.55521736,27.90970126,4400.0,5.64,10.5116
92782,283.59902616,71.29708956,5000.0,4.82,11.8579
92791,283.62620294,36.89860518,2900.0,4.22,46.7419
92814,283.67964704,-15.60302217,24000.0,5.08,0.4601
92818,283.68700483,22.64507357,5600.0,4.57,10.6361
92822,283.69653895,48.85972353,7050.0,5.84,3.6934
92824,283.69853501,-87.60551487,4550.0,5.29,11.4908
92831,283.71740921,41.60272814,5200.0,5.46,8.1423
92833,283.71883669,33.96858048,5200.0,5.99,6.4418
92845,283.77946681,-22.67125323,4850.0,5.0,11.5698
92855,283.81631956,-26.29659428,26000.0,2.05,1.5623
92862,283.8336882,43.9458926,2750.0,4.08,55.1246
92872,283.86434313,6.61550576,5100.0,5.58,8.0182
92882,283.87925799,-16.37618751,6750.0,5.56,4.5257
92931,284.00280341,-23.17371793,18000.0,5.91,0.5571
92937,284.02562647,18.10579902,4850.0,5.69,8.4222
92946,284.05483475,4.20352956,8750.0,4.62,4.1801
92951,284.06088696,4.20205672,8750.0,4.98,3.5484
92953,284.07071918,-42.71060161,5400.0,5.35,7.9561
92969,284.10725292,65.25815397,5200.0,5.62,7.5777
92989,284.16871114,-37.34318339,24000.0,5.36,0.4021
92997,284.18783092,57.81499531,4850.0,5.67,8.5039
93015,284.23766942,-67.23353511,6750.0,4.4,7.9225
93017,284.25612303,32.90162351,6000.0,5.2,6.5129
93026,284.26514217,-5.84621426,4850.0,4.83,12.4651
93051,284.31913909,2.5353768,12000.0,5.56,1.4738
93057,284.33532364,-20.65633439,12000.0,5.02,1.8942
93085,284.43241556,-21.10662433,5200.0,3.52,19.9643
93104,284.50792438,38.26618277,16000.0,5.89,0.7097
93124,284.56144717,17.36093633,6300.0,5.33,5.9542
93148,284.61564682,-52.93860748,10000.0,4.85,2.9336
93163,284.65247792,-60.20062859,4850.0,5.14,10.9105
93174,284.68114151,-37.10708855,7050.0,4.83,5.7934
93179,284.69551472,13.90677273,7500.0,5.91,3.1774
93194,284.73593568,32.68955312,12000.0,3.25,4.2607
93203,284.77387015,13.62254853,6300.0,5.27,6.0005
93225,284.84917715,-12.84046242,22000.0,5.51,0.4472
93244,284.90578844,15.06847757,4700.0,4.02,19.1677
93256,284.93928575,26.23043204,4700.0,5.26,10.9598
93279,285.00342257,32.14549051,4550.0,4.94,13.6501
93287,285.01477683,-66.65351408,5000.0,5.98,6.9647
93299,285.05696213,50.53345884,26000.0,5.39,0.3387
93340,285.18111302,55.65831944,5500.0,5.51,7.1529
93393,285.32232152,26.29143333,20000.0,5.69,0.4989
93408,285.3598321,46.93502175,8250.0,5.0,3.944
93429,285.42017236,-5.73901832,4850.0,4.02,17.987
93498,285.61537869,-24.84639516,4700.0,5.63,9.2199
